Attendance_Percentage,Study_Hours_per_Day,Social_Media_Hours_per_Day,Sleep_Hours_per_Night,Previous_Semester_SGPA,Cleared_in_First_Attempt
74,5.8,0.3,6.2,6.1,Yes
94,3.5,4.1,6.7,5.1,No
64,2.3,2.2,8.0,5.54,No
65,4.2,3.2,6.9,6.1,No
66,3.4,1.8,7.2,4.11,No
62,4.0,4.8,5.4,5.76,No
78,5.5,4.6,8.6,7.31,No
73,1.4,4.6,5.3,4.71,No
75,1.3,1.4,7.3,4.89,No
40,4.0,6.6,6.6,4.76,No
55,3.7,3.9,6.0,6.57,No
68,1.5,4.1,5.9,6.01,No
71,5.5,1.3,7.2,6.24,No
94,3.7,3.7,5.4,7.86,No
55,2.0,3.5,6.1,5.09,No
53,2.7,1.3,5.0,4.94,No
54,0.0,2.5,6.1,4.71,No
71,3.5,,7.2,5.24,No
80,1.2,2.4,6.6,6.99,No
61,2.5,3.3,5.1,6.03,No
72,2.9,2.6,6.4,6.27,No
52,5.9,4.2,9.1,6.01,Yes
50,5.1,4.8,4.9,5.93,No
63,0.0,4.8,6.7,4.15,No
82,1.7,3.6,7.7,5.23,No
59,3.5,5.2,5.0,5.17,No
67,3.0,2.2,5.9,5.58,No
56,4.8,3.2,7.9,5.76,Yes
53,1.5,3.1,5.4,4.64,Yes
76,2.7,5.3,7.3,4.47,No
61,1.8,0.5,7.3,5.58,No
49,3.3,1.3,5.6,5.93,No
48,2.4,1.2,6.5,5.65,No
85,4.1,3.3,9.2,7.78,Yes
44,2.2,3.0,5.9,5.39,No
86,1.9,0.9,8.1,5.69,Yes
79,6.7,4.6,7.3,5.07,Yes
63,5.0,4.7,,5.41,No
80,4.7,3.7,6.8,6.72,No
66,2.1,1.5,7.7,4.81,No
76,1.4,7.5,5.7,3.65,No
41,0.0,4.7,6.5,4.63,No
72,3.4,5.2,3.7,4.77,No
64,4.0,2.0,9.0,6.74,No
62,1.7,2.1,6.3,6.0,No
83,3.6,1.7,7.3,7.68,No
100,0.3,2.8,7.4,5.47,No
89,7.6,2.9,6.8,7.29,Yes
87,1.5,3.1,5.9,4.98,No
57,1.6,4.9,,5.08,No
80,1.8,4.7,4.8,4.85,No
64,4.5,4.7,5.5,4.36,No
62,4.1,5.4,7.0,4.81,Yes
100,3.3,3.9,7.5,6.5,No
39,6.7,6.4,,4.82,Yes
77,3.5,3.7,6.6,,No
76,3.6,4.2,6.4,6.43,No
82,4.0,2.1,5.6,6.33,Yes
82,2.3,2.3,7.3,6.13,No
77,0.5,4.0,7.5,5.68,No
76,2.5,3.4,3.3,4.98,No
58,0.4,5.7,8.0,4.91,No
70,4.4,2.0,5.7,7.15,Yes
82,3.5,1.6,7.7,6.15,No
59,1.7,3.9,7.0,4.28,Yes
75,2.4,2.7,6.8,4.9,No
82,3.7,3.4,6.1,6.7,Yes
65,3.9,4.1,4.9,5.76,No
93,3.3,4.1,4.8,4.41,No
78,0.6,2.7,4.1,5.47,No
46,0.4,2.8,6.7,4.73,No
71,2.4,5.0,6.2,4.51,No
58,4.0,3.6,7.6,5.13,No
54,2.4,4.3,6.9,4.21,No
55,4.5,3.4,6.6,5.42,No
98,5.5,3.2,5.6,7.21,Yes
58,2.1,2.4,7.2,6.42,No
67,0.7,4.4,5.3,4.14,No
74,4.5,4.0,6.4,6.69,No
59,7.1,2.0,8.3,5.79,No
57,3.0,4.8,7.1,6.0,No
60,,1.2,5.0,5.23,No
61,4.9,5.1,6.1,4.68,No
77,3.7,2.4,5.3,6.2,Yes
57,3.2,3.9,7.2,4.98,Yes
93,2.7,3.4,6.7,5.85,No
66,3.0,2.0,7.9,5.06,Yes
94,1.6,3.0,8.2,4.27,Yes
69,6.4,5.6,5.6,7.66,Yes
47,2.0,4.7,7.1,4.69,No
60,0.0,5.4,5.4,4.04,No
78,2.9,2.3,7.5,6.11,No
54,3.7,2.4,7.1,5.42,No
69,5.5,3.1,6.9,6.63,No
75,2.3,3.4,6.2,4.35,No
75,1.0,2.2,6.5,5.53,No
78,4.8,3.5,4.5,6.29,No
73,1.9,4.0,7.8,5.7,No
54,3.9,5.2,3.9,4.97,No
65,1.4,3.6,8.1,5.02,No
70,1.6,4.1,5.0,4.69,No
76,2.4,2.3,7.8,6.54,No
59,1.1,1.1,6.0,4.33,Yes
69,0.6,5.2,6.4,4.23,No
98,2.1,3.7,6.1,6.09,No
83,3.1,4.9,5.3,7.72,Yes
83,6.7,2.9,5.5,6.73,No
69,3.4,1.8,9.0,6.94,No
72,3.1,1.4,5.1,5.86,No
70,3.2,2.2,7.1,7.29,No
77,3.7,2.1,5.7,6.68,No
51,3.0,4.3,7.6,5.48,Yes
58,4.7,3.3,6.5,6.74,Yes
48,,4.9,7.3,4.74,No
81,2.8,3.1,7.0,4.74,No
80,1.6,5.6,5.6,6.31,Yes
60,3.7,4.4,6.0,5.05,No
59,4.8,3.4,6.3,6.7,Yes
81,4.2,,5.9,5.32,Yes
80,2.3,5.8,5.3,5.6,No
94,3.0,2.9,8.0,5.8,No
57,5.6,,7.1,4.97,Yes
68,4.5,4.7,6.1,5.59,No
71,3.8,5.5,5.2,4.89,Yes
78,2.0,2.1,6.3,5.0,Yes
84,3.7,7.2,4.7,5.43,No
68,5.7,,7.0,5.82,No
73,3.2,4.3,6.0,4.75,Yes
65,0.0,1.4,5.9,4.83,No
48,5.9,4.7,7.9,5.18,No
57,4.4,4.8,5.8,4.78,No
62,1.8,1.5,8.5,4.45,No
78,2.8,3.3,5.3,5.3,Yes
38,2.7,5.3,5.4,4.71,No
78,2.4,0.2,6.1,6.0,Yes
78,2.9,4.1,6.5,5.81,Yes
63,4.2,3.9,5.5,6.39,No
98,5.5,1.8,8.3,7.43,Yes
73,2.0,4.3,6.9,6.72,No
73,4.3,3.6,5.3,6.31,No
67,1.8,3.5,5.9,5.48,No
42,4.8,4.1,6.9,5.95,No
60,3.5,3.3,6.2,5.94,No
58,2.9,3.2,5.5,4.3,Yes
79,2.6,2.9,7.7,6.48,Yes
62,4.7,3.8,8.7,5.57,Yes
74,1.0,2.4,6.4,4.51,No
45,4.7,6.6,7.0,5.35,Yes
90,2.2,2.1,8.0,6.5,Yes
80,4.2,4.3,5.6,6.55,Yes
69,3.2,2.0,8.6,6.05,Yes
62,1.3,8.0,5.1,4.9,No
82,2.5,2.4,7.0,5.91,No
62,1.7,6.3,5.6,5.13,Yes
62,1.0,2.6,5.1,5.0,No
66,,4.7,5.7,5.51,No
91,0.5,3.5,6.0,5.98,No
60,1.9,4.0,5.8,5.69,No
80,3.6,4.1,7.7,5.31,No
58,1.5,4.6,6.5,5.77,No
38,4.8,4.4,7.3,5.8,No
75,6.1,3.3,7.3,6.56,No
57,5.4,3.7,6.3,6.29,Yes
65,3.7,3.7,5.0,6.75,No
82,2.8,3.5,7.5,4.8,Yes
56,3.2,3.3,5.5,4.26,No
63,5.5,4.2,8.3,6.81,No
79,1.1,3.0,7.7,4.36,No
63,0.3,5.0,6.5,5.76,No
71,2.7,5.5,3.6,4.79,No
67,3.4,3.1,6.9,5.29,No
67,4.5,4.3,,6.84,No
66,4.4,3.0,6.3,5.77,No
76,5.3,2.5,5.7,5.91,Yes
41,3.0,2.6,6.5,5.73,No
65,2.9,2.4,7.1,3.9,No
58,3.2,1.2,7.6,5.01,No
80,1.3,6.9,6.2,5.65,No
87,5.1,3.4,5.5,4.76,No
69,2.5,4.0,8.7,4.4,No
67,2.5,2.7,4.5,5.85,No
77,3.4,3.0,7.7,6.26,No
71,1.8,1.7,7.3,5.83,Yes
67,2.7,4.7,7.6,4.61,No
73,3.8,2.8,5.7,5.86,No
64,5.1,6.4,5.3,5.8,No
80,3.4,2.8,6.7,6.44,Yes
96,5.7,4.1,5.5,7.53,Yes
67,2.6,2.0,5.3,5.64,No
76,0.4,3.5,5.8,6.1,No
40,0.8,0.9,6.5,4.39,No
43,3.7,1.8,,6.54,No
73,2.6,5.5,5.2,5.88,No
64,4.6,5.7,8.7,6.29,Yes
59,3.3,3.7,3.1,4.77,No
76,3.1,3.6,7.4,4.71,No
65,1.4,4.9,7.8,6.34,No
76,0.0,3.9,8.0,5.45,No
71,2.3,,6.2,5.72,No
81,1.3,4.7,6.0,6.53,No
68,0.7,4.4,8.7,5.61,No
69,3.3,5.6,4.2,,No
65,4.2,5.2,5.8,5.3,No
62,3.6,0.8,5.3,4.3,No
76,3.6,2.1,7.6,5.89,Yes
55,1.8,7.7,6.5,3.87,No
85,1.1,3.0,4.7,5.42,No
55,1.5,3.5,5.5,5.27,Yes
65,4.6,3.4,6.0,5.54,Yes
63,2.7,3.0,7.2,5.33,No
78,5.8,6.6,4.8,6.26,No
88,4.6,3.8,8.6,6.41,Yes
74,5.7,2.1,6.8,5.79,Yes
93,3.0,3.1,7.2,6.17,No
59,3.3,5.0,6.9,4.62,No
65,0.9,2.4,7.4,,No
49,3.0,4.6,4.1,4.82,No
53,4.3,2.7,8.3,6.12,No
83,6.9,3.3,8.1,5.93,Yes
66,2.1,5.6,7.1,5.26,Yes
62,1.3,4.8,8.8,5.43,No
56,4.6,4.5,5.3,4.78,No
80,1.6,2.1,5.4,6.34,No
63,2.3,5.2,6.3,3.7,No
52,5.9,2.1,5.6,5.22,No
70,2.4,3.3,6.6,5.72,No
77,4.3,3.9,7.9,5.84,Yes
67,5.2,5.6,6.9,5.83,No
62,2.1,4.1,6.9,5.35,No
70,2.7,4.0,5.2,4.65,Yes
49,2.8,2.5,6.4,4.89,No
79,3.3,5.3,6.3,5.11,Yes
75,1.5,3.8,6.1,6.1,No
85,2.4,1.0,7.8,6.16,No
57,,,7.0,3.49,No
46,1.4,2.3,5.3,4.78,No
47,3.8,1.4,6.5,5.02,No
55,4.3,2.9,7.6,6.19,No
51,4.1,,6.9,5.48,Yes
77,5.5,7.1,6.9,5.41,No
62,4.6,3.9,5.5,5.04,No
66,2.3,4.6,7.6,4.78,No
60,4.2,2.9,5.1,,No
67,1.2,5.7,6.4,,No
79,1.6,2.7,6.8,6.15,No
93,3.4,4.9,7.2,5.65,No
83,1.5,7.1,6.5,6.27,No
70,0.4,5.2,6.4,4.5,No
65,3.5,4.1,4.8,4.99,No
88,4.5,2.7,6.2,6.69,No
55,4.6,3.1,7.6,6.51,No
69,5.1,1.0,7.2,5.94,No
52,4.4,4.1,6.4,4.74,No
87,2.2,4.0,7.5,4.56,Yes
90,2.9,1.8,7.1,5.73,Yes
50,2.5,4.0,9.1,4.02,No
49,2.8,3.3,6.0,4.61,No
62,3.7,1.7,6.3,5.52,Yes
78,2.4,2.7,5.9,5.26,Yes
57,1.8,1.8,6.6,5.16,No
58,3.1,3.2,5.7,5.37,No
79,5.9,3.7,6.6,5.04,No
73,4.5,2.2,7.4,5.98,Yes
68,1.4,1.1,8.4,5.6,No
70,1.9,4.6,7.1,5.49,No
73,4.4,2.0,8.5,4.83,No
82,3.2,4.5,5.6,5.4,No
82,1.8,3.4,8.1,6.83,No
61,4.4,,6.4,6.89,No
68,2.6,3.2,4.0,4.57,No
60,3.2,5.5,3.9,3.76,No
76,2.4,7.1,6.6,5.52,No
54,1.1,4.2,4.7,3.47,No
52,2.1,0.6,6.5,4.69,Yes
62,3.7,5.0,6.7,6.27,No
38,,2.6,6.6,4.85,Yes
20,2.0,0.0,5.8,3.07,No
75,1.1,3.1,9.4,5.21,No
76,3.1,5.4,6.8,5.19,No
54,3.2,5.0,7.3,5.8,No
67,1.6,3.0,7.6,5.37,No
91,3.1,6.3,4.7,7.56,No
67,3.2,2.3,7.5,5.68,No
88,3.3,6.5,7.4,6.35,No
59,3.2,2.7,5.9,6.14,No
71,2.0,2.9,7.1,6.62,No
76,,0.7,7.1,4.81,Yes
61,2.9,3.0,7.4,6.45,No
64,3.3,4.2,8.1,4.97,No
66,4.1,3.2,7.2,5.97,No
56,4.3,1.1,5.7,4.76,Yes
72,3.8,3.9,5.9,4.22,No
87,3.6,3.5,6.4,6.7,No
86,4.8,3.6,5.6,6.48,Yes
98,1.8,4.6,5.3,5.0,No
62,1.3,3.5,6.5,4.05,No
61,4.9,3.8,4.7,5.75,No
78,4.6,5.7,5.7,5.63,Yes
90,4.3,2.5,6.7,6.78,No
85,2.6,4.8,7.7,5.05,No
79,5.4,3.7,6.4,6.18,Yes
57,1.8,2.6,4.9,6.51,No
58,2.1,5.6,6.4,5.55,Yes
77,1.2,2.5,5.8,4.24,Yes
75,2.2,4.4,6.6,4.91,No
67,3.1,1.9,7.6,5.74,No
76,2.3,1.7,6.4,4.85,No
71,3.9,4.9,6.7,6.32,Yes
81,3.5,0.3,7.4,6.87,Yes
61,3.9,1.5,7.6,7.04,No
48,4.7,5.7,5.8,5.15,No
50,4.8,6.9,7.1,5.57,Yes
59,3.1,5.4,6.4,5.75,No
61,3.3,1.8,6.0,6.56,No
69,2.0,4.3,3.9,5.3,No
57,6.1,1.3,8.2,6.01,No
53,1.1,3.1,9.9,3.98,No
46,1.6,2.5,5.7,5.51,No
72,2.3,5.6,7.1,5.64,Yes
69,0.0,3.4,6.0,4.88,No
72,2.6,0.0,7.4,7.09,No
62,3.1,4.3,6.6,3.91,Yes
96,1.9,3.0,8.2,6.25,No
52,3.1,2.9,6.9,5.93,No
70,0.9,5.6,4.0,4.44,No
36,1.5,3.6,3.7,4.06,No
76,3.8,1.4,6.2,5.92,Yes
58,3.7,2.7,3.7,5.59,Yes
49,3.3,2.7,6.7,5.28,No
76,4.1,3.3,6.7,6.29,No
51,2.9,2.3,5.3,5.46,No
57,3.8,3.6,7.2,5.81,No
84,2.3,4.2,6.8,5.32,No
72,,4.4,6.7,5.54,No
64,3.1,3.9,7.8,5.54,No
72,4.5,3.7,6.9,5.09,No
63,2.8,4.1,5.3,5.35,No
79,2.0,5.6,6.1,5.34,No
67,3.7,0.9,5.7,5.92,No
55,0.7,2.7,3.7,5.34,Yes
47,3.8,3.9,7.7,5.48,No
86,1.2,3.2,8.0,5.23,No
48,3.5,2.3,7.1,5.68,No
81,4.8,0.4,5.6,6.36,Yes
56,1.5,4.9,5.6,4.56,No
60,5.6,4.5,7.0,5.23,No
88,4.4,1.7,5.9,6.6,Yes
59,4.0,6.3,7.8,5.14,No
65,2.4,3.7,8.8,5.75,No
87,4.5,2.6,6.1,5.39,No
79,3.1,1.6,8.4,6.82,Yes
79,3.4,2.4,7.7,6.91,No
57,5.5,3.1,6.1,4.12,No
56,3.5,3.5,5.7,5.18,No
78,3.3,3.9,7.1,6.04,No
69,3.0,4.0,6.4,5.5,Yes
69,2.0,4.5,6.7,5.22,No
51,3.7,2.8,8.5,5.03,No
59,2.7,4.2,5.7,5.06,No
44,5.0,2.3,5.5,4.98,No
71,4.9,3.8,6.8,6.11,No
76,2.5,2.9,6.2,6.38,No
83,2.8,4.2,6.7,6.37,No
48,1.3,2.5,6.5,5.38,No
80,0.0,1.9,5.3,4.68,No
68,3.7,3.2,5.7,5.96,No
85,2.2,2.9,6.3,5.07,No
42,4.0,3.6,6.0,4.01,No
93,1.7,2.3,6.3,6.65,Yes
66,2.6,2.0,6.7,6.66,Yes
72,2.8,2.0,6.4,5.75,No
57,2.8,1.4,5.3,4.53,No
55,0.2,5.6,6.3,3.43,No
77,4.2,3.0,8.0,,No
64,2.8,4.2,9.2,5.25,No
94,1.1,6.4,8.2,5.19,No
65,4.8,1.1,4.6,5.9,Yes
82,4.9,3.0,5.2,5.08,No
66,3.3,5.8,4.8,3.62,No
27,2.8,3.1,8.0,2.83,No
63,2.6,5.3,7.9,5.43,No
81,,0.0,6.9,6.33,Yes
72,2.9,3.2,9.1,6.08,Yes
62,0.0,0.3,6.1,6.12,No
73,4.6,3.7,6.7,5.86,Yes
89,1.9,3.6,6.8,6.18,Yes
85,0.7,1.7,4.9,4.66,No
48,1.2,3.5,5.1,4.93,No
70,2.9,4.6,6.3,5.66,No
72,3.6,4.7,4.4,5.49,No
53,2.4,4.7,5.7,4.24,No
58,2.1,6.1,8.0,4.81,No
55,1.6,5.2,6.2,4.92,Yes
56,4.3,2.3,8.1,5.96,Yes
46,3.9,3.5,7.4,4.91,No
67,3.4,4.0,7.1,5.48,No
80,1.2,2.8,8.6,6.9,No
60,2.3,2.6,6.2,4.87,No
94,2.3,4.6,6.3,6.4,No
89,5.6,1.5,6.0,7.64,Yes
65,3.1,2.5,6.2,,No
66,2.2,5.3,4.1,5.58,No
88,5.6,2.9,6.0,7.36,Yes
59,4.2,3.8,9.1,5.23,No
73,4.2,4.4,5.9,4.73,No
83,5.0,4.9,7.3,5.56,No
62,,2.7,6.1,5.7,Yes
68,2.3,3.8,5.4,6.39,No
51,2.7,1.9,7.1,4.57,No
52,3.6,3.6,4.8,5.98,No
92,3.2,1.6,8.4,6.37,No
75,0.3,3.2,7.1,5.5,No
80,0.9,3.9,5.9,4.63,No
75,3.0,1.8,6.9,4.85,No
71,0.4,4.9,5.8,4.73,No
62,1.0,2.4,6.2,4.64,No
96,2.3,2.3,7.7,6.1,No
50,3.1,1.7,7.2,6.2,Yes
52,3.9,4.3,8.1,5.81,No
60,4.3,5.3,7.4,5.72,Yes
75,3.4,3.1,7.0,5.34,Yes
72,4.5,1.3,4.9,6.37,No
57,1.9,1.7,5.6,4.24,No
64,1.5,3.0,6.1,6.02,No
63,2.7,2.6,3.3,5.32,No
73,4.0,1.2,6.1,5.3,Yes
62,4.2,3.9,6.6,3.66,No
94,4.9,2.9,7.2,7.12,No
65,3.8,4.6,4.6,5.22,No
65,5.9,3.8,5.5,6.11,Yes
80,4.2,3.6,6.2,6.13,Yes
77,2.9,3.1,8.8,5.18,No
87,4.5,3.6,8.1,6.82,Yes
84,5.3,5.7,5.8,6.13,Yes
66,0.9,0.6,7.4,4.98,No
87,2.4,3.9,5.2,5.49,No
63,1.5,3.2,4.8,4.74,No
53,2.8,2.3,5.7,7.02,No
69,2.2,4.4,6.5,5.37,No
75,3.8,2.8,6.6,4.8,No
73,4.9,1.4,8.3,6.27,Yes
76,4.9,2.0,4.8,4.82,No
58,4.3,4.2,8.0,5.1,No
79,3.5,3.8,8.6,5.84,No
90,1.6,1.2,8.3,6.78,No
58,4.8,0.8,8.5,6.7,Yes
83,5.0,2.9,5.9,6.2,Yes
75,0.0,0.0,7.6,4.96,No
80,6.2,,8.2,6.49,No
58,0.7,3.2,6.9,4.81,Yes
72,1.7,4.7,6.3,5.04,Yes
70,3.9,4.7,4.9,6.35,No
69,,2.0,9.2,4.67,No
73,3.0,3.8,5.2,6.62,No
78,1.3,3.7,8.2,4.41,Yes
91,4.0,3.3,5.6,6.6,Yes
85,2.7,1.7,7.8,6.24,No
83,2.4,4.7,5.5,5.7,No
89,4.1,2.6,6.6,6.0,No
73,2.4,2.2,7.2,5.83,No
56,4.5,4.9,7.2,4.82,Yes
72,1.9,2.7,4.7,5.91,No
76,1.7,3.1,5.4,6.28,No
82,3.2,4.1,5.9,6.53,No
78,3.6,3.8,7.2,5.48,No
67,2.9,1.5,7.8,4.81,No
88,2.2,1.3,5.5,7.13,Yes
74,1.4,4.0,6.1,4.22,Yes
66,3.3,3.7,3.9,,No
43,3.2,3.2,6.0,4.92,No
76,2.6,1.4,7.7,5.24,No
52,5.6,3.5,7.0,5.58,Yes
54,2.0,3.9,5.3,4.34,No
76,6.1,0.0,6.8,6.65,Yes
77,2.6,2.8,5.2,5.85,No
53,4.7,3.6,5.6,5.81,No
64,3.5,3.6,8.3,3.97,No
69,4.9,6.4,6.5,5.34,No
82,6.2,5.0,6.4,6.6,Yes
61,3.4,4.1,7.2,5.57,No
81,1.8,4.9,7.2,5.94,No
57,0.7,3.7,6.9,3.72,No
51,2.3,4.3,7.6,5.28,No
86,4.8,5.3,3.9,5.93,Yes
91,5.0,1.1,6.8,7.06,Yes
87,4.8,6.4,7.7,5.78,Yes
80,2.8,3.2,7.0,5.86,Yes
71,4.6,5.0,5.0,4.97,Yes
78,3.8,4.2,6.8,5.76,Yes
77,1.8,4.1,7.1,5.44,No
96,2.4,5.3,6.2,4.35,No
59,5.8,3.8,7.7,6.01,Yes
61,0.9,5.1,5.5,3.07,No
56,4.6,3.9,6.3,4.53,No
90,1.5,2.1,7.9,6.93,No
70,3.2,1.8,5.9,5.51,Yes
59,5.4,4.2,6.0,5.78,Yes
41,3.7,2.4,5.3,4.48,No
57,3.0,4.3,5.8,4.8,No
73,2.7,2.1,6.0,4.07,Yes
43,5.1,5.3,6.4,5.68,No
56,4.1,5.8,7.1,5.16,No
70,4.8,4.5,8.1,6.65,No
66,4.6,3.3,6.6,6.45,Yes
52,4.4,,7.4,5.01,Yes
57,3.5,4.1,6.2,5.49,No
66,2.0,6.4,6.5,5.81,No
75,3.7,3.9,5.9,4.55,No
78,2.6,4.8,6.1,5.34,No
68,0.5,2.3,6.5,4.49,Yes
89,5.5,3.5,6.3,7.69,Yes
62,1.4,5.9,6.1,4.21,No
54,2.4,6.2,4.9,3.52,No
42,1.6,1.9,6.9,5.61,No
79,1.8,3.5,6.2,4.96,No
68,1.5,5.2,6.2,5.52,No
48,2.3,5.3,6.6,5.03,No
73,3.3,3.3,7.4,5.06,No
83,3.5,3.5,5.4,6.05,No
73,4.2,2.7,6.2,5.08,No
60,2.4,1.2,3.1,4.72,No
53,0.0,3.2,7.1,3.79,No
73,4.6,4.2,8.3,6.25,No
70,4.4,1.2,7.6,5.85,No
100,2.1,7.6,5.3,4.78,No
55,4.2,3.5,5.9,5.97,No
75,3.3,6.1,6.7,4.92,No
61,3.4,4.5,3.3,6.25,No
59,3.5,5.4,5.9,3.61,No
53,1.5,1.8,6.5,5.54,No
85,2.1,4.7,5.8,6.24,No
85,3.6,2.6,7.8,6.44,No
82,2.9,3.6,5.4,6.95,Yes
63,3.0,4.5,5.7,4.97,No
77,4.6,3.8,8.6,7.14,Yes
88,0.0,2.9,8.4,5.55,No
35,4.8,3.7,8.7,5.27,Yes
77,3.1,4.8,5.6,4.24,No
83,2.9,3.2,6.2,5.33,No
80,,4.1,,5.56,No
57,2.4,3.4,5.6,4.75,No
57,1.4,1.8,,4.22,No
74,4.0,5.9,6.0,6.21,Yes
70,5.5,4.7,8.0,5.25,No
82,4.6,2.9,6.6,6.18,Yes
82,4.6,2.2,6.4,6.47,Yes
62,0.7,2.7,5.4,5.75,No
46,4.2,4.3,7.4,4.29,No
50,2.3,3.7,5.4,5.62,No
54,2.1,4.9,7.0,,No
62,2.9,1.9,6.6,5.23,No
74,5.1,3.9,7.0,6.07,Yes
65,1.6,3.2,8.2,6.88,No
52,2.4,2.7,,4.66,No
78,0.9,5.8,6.5,5.2,No
65,0.3,2.9,7.0,4.59,No
60,2.5,3.5,8.0,5.07,No
58,4.7,0.7,5.3,4.42,No
74,4.8,5.6,7.2,5.41,Yes
66,3.3,2.2,7.7,7.08,No
61,3.1,1.1,7.5,6.01,Yes
52,2.0,4.9,7.8,4.93,No
61,0.5,5.2,7.0,5.24,No
73,0.9,4.5,5.9,4.72,No
78,4.9,0.9,4.9,7.33,No
83,0.9,4.1,8.4,6.19,No
60,0.4,0.0,7.6,5.02,No
48,1.8,1.6,7.0,5.57,No
78,0.0,3.0,6.0,6.08,No
72,4.6,5.1,7.5,4.75,No
49,2.9,3.9,6.2,4.63,No
80,2.3,5.5,6.0,4.97,No
27,3.6,2.6,7.0,4.12,No
55,,1.8,9.4,5.74,No
94,3.1,3.4,4.2,5.22,No
100,3.0,2.9,6.4,6.81,Yes
83,1.0,3.8,6.2,4.71,No
65,2.0,,5.9,5.58,No
75,4.0,,7.6,6.49,No
39,2.9,3.8,8.3,5.88,No
63,4.8,3.9,7.6,5.69,No
45,4.3,3.0,5.6,4.11,No
86,0.0,3.9,7.3,5.29,No
81,3.7,6.3,7.3,4.11,No
79,3.0,2.9,6.2,6.36,No
82,0.1,3.3,6.5,5.75,No
61,0.0,5.2,8.3,4.5,No
69,1.9,6.4,4.2,4.58,No
59,2.4,2.0,8.7,5.67,No
70,4.1,2.1,5.8,5.27,Yes
68,1.3,2.1,6.4,4.87,No
75,5.5,0.6,6.4,6.16,No
53,4.0,3.6,5.9,5.47,No
70,2.7,6.1,5.6,5.76,No
69,3.5,4.9,6.6,5.18,No
72,5.8,3.4,4.5,5.42,Yes
56,2.6,5.3,6.2,5.02,No
60,2.7,6.4,7.4,5.77,No
57,3.7,3.6,6.5,6.05,No
99,1.2,3.5,6.1,5.84,Yes
87,2.9,2.5,6.8,6.69,No
68,2.0,4.8,8.1,4.36,No
76,4.2,5.9,7.8,5.12,No
93,2.9,5.1,4.7,5.35,No
94,4.2,2.0,7.5,6.24,Yes
75,2.6,4.7,6.7,5.36,No
57,0.8,2.3,5.5,6.49,No
88,5.3,0.3,6.3,,Yes
73,1.6,3.6,6.3,5.36,No
64,3.1,5.3,5.7,5.46,No
80,3.4,2.6,7.7,6.72,Yes
60,4.3,2.6,8.5,5.84,No
46,5.2,4.6,5.8,4.83,No
89,2.5,3.6,5.4,5.52,Yes
76,1.6,3.3,6.5,5.26,No
82,0.0,2.4,7.8,4.8,No
42,,,4.1,4.9,No
76,0.0,3.1,6.6,,No
74,1.4,2.8,7.3,5.12,No
64,2.8,4.0,6.0,6.2,No
64,5.1,1.6,7.1,5.68,No
62,2.7,3.2,6.4,4.09,No
93,,3.9,7.4,6.48,Yes
82,3.0,4.3,8.0,6.02,No
66,2.9,4.0,6.8,5.59,No
60,4.4,1.8,7.5,5.72,Yes
69,3.4,1.0,4.3,5.45,No
69,2.3,3.2,5.2,5.7,No
54,4.8,1.5,6.4,4.95,No
86,2.1,6.6,5.1,4.92,No
66,1.4,0.9,6.0,5.08,No
71,1.2,4.3,6.9,4.58,No
82,2.4,2.7,6.4,4.3,No
93,3.1,6.0,7.2,5.63,No
71,3.4,4.1,7.8,6.69,No
48,2.6,5.3,7.2,5.46,No
78,,2.4,6.6,5.55,Yes
72,3.4,1.7,5.8,5.41,No
62,4.5,2.1,8.2,,Yes
75,0.0,1.4,6.6,5.06,No
60,0.0,3.4,4.3,4.21,No
46,4.4,1.6,7.6,6.37,Yes
71,2.3,3.3,7.2,5.39,Yes
55,4.2,2.9,6.6,5.1,No
65,0.9,5.7,6.9,4.87,No
78,2.9,2.9,5.5,5.09,No
38,1.0,4.1,6.0,4.52,No
64,3.5,4.2,5.9,3.95,No
55,2.4,3.9,8.2,5.58,No
47,0.7,2.6,5.9,4.23,No
70,3.8,3.6,5.3,5.56,No
62,,5.3,7.0,4.74,No
79,2.5,4.6,4.6,5.71,No
76,,,6.1,4.84,No
78,4.4,2.4,7.3,5.6,Yes
41,3.5,5.4,6.2,4.53,No
71,,3.1,5.7,5.83,No
72,1.1,5.1,4.9,6.14,No
51,5.9,5.4,5.6,6.05,No
67,2.9,1.1,6.5,4.65,No
73,5.5,3.7,6.4,6.39,No
70,2.1,1.8,7.7,5.8,No
79,2.4,3.1,6.1,5.49,Yes
76,2.2,5.3,3.8,5.83,Yes
79,3.2,1.6,7.7,5.75,Yes
49,2.9,3.6,8.4,3.84,No
59,4.0,4.1,4.4,5.36,Yes
63,2.6,6.0,7.3,5.93,Yes
67,3.5,1.3,8.6,6.53,No
45,3.8,3.9,5.8,4.54,No
67,0.8,3.1,7.0,6.49,Yes
80,1.3,4.5,7.1,,No
49,1.1,3.3,6.2,4.66,No
47,4.0,3.9,8.5,4.55,No
88,4.7,3.7,5.4,6.28,No
75,2.3,4.9,9.7,5.59,No
98,3.8,5.0,9.4,4.86,Yes
71,2.3,2.7,6.8,5.15,No
68,4.0,1.2,10.0,7.16,Yes
58,,4.1,6.1,6.42,Yes
100,5.3,2.9,5.0,6.78,Yes
87,5.0,2.7,7.6,6.99,Yes
77,5.7,4.3,7.5,6.11,Yes
74,3.8,8.0,6.3,5.52,No
52,4.7,2.4,8.5,6.34,Yes
70,2.2,2.8,5.8,4.44,Yes
53,4.1,2.0,8.4,3.87,No
